building_count,total_risk,grid_id,grid_bounds,avg_risk
49.0,15.4144360721,557,"[[42.326641632300024, -83.236659000000003], [42.326641632300024, -83.229071000000005], [42.333130230600027, -83.229071000000005], [42.333130230600027, -83.236659000000003]]",0.314580328002
228.0,88.7243826091,558,"[[42.326641632300024, -83.229071000000005], [42.326641632300024, -83.221483000000006], [42.333130230600027, -83.221483000000006], [42.333130230600027, -83.229071000000005]]",0.389142028987
54.0,12.0318598449,559,"[[42.326641632300024, -83.221483000000006], [42.326641632300024, -83.213895000000008], [42.333130230600027, -83.213895000000008], [42.333130230600027, -83.221483000000006]]",0.22281221935
2.0,0.653330147266,561,"[[42.326641632300024, -83.20630700000001], [42.326641632300024, -83.198719000000011], [42.333130230600027, -83.198719000000011], [42.333130230600027, -83.20630700000001]]",0.326665073633
2.0,0.373462498188,562,"[[42.326641632300024, -83.198719000000011], [42.326641632300024, -83.191131000000013], [42.333130230600027, -83.191131000000013], [42.333130230600027, -83.198719000000011]]",0.186731249094
4.0,1.1072203517,563,"[[42.326641632300024, -83.191131000000013], [42.326641632300024, -83.183543000000014], [42.333130230600027, -83.183543000000014], [42.333130230600027, -83.191131000000013]]",0.276805087924
6.0,2.82846328616,564,"[[42.326641632300024, -83.183543000000014], [42.326641632300024, -83.175955000000016], [42.333130230600027, -83.175955000000016], [42.333130230600027, -83.183543000000014]]",0.471410547693
5.0,2.12554228306,565,"[[42.326641632300024, -83.175955000000016], [42.326641632300024, -83.168367000000018], [42.333130230600027, -83.168367000000018], [42.333130230600027, -83.175955000000016]]",0.425108456612
4.0,1.07168644667,566,"[[42.326641632300024, -83.168367000000018], [42.326641632300024, -83.160779000000019], [42.333130230600027, -83.160779000000019], [42.333130230600027, -83.168367000000018]]",0.267921611667
80.0,24.9360900223,567,"[[42.326641632300024, -83.160779000000019], [42.326641632300024, -83.153191000000021], [42.333130230600027, -83.153191000000021], [42.333130230600027, -83.160779000000019]]",0.311701125279
251.0,83.004253,568,"[[42.326641632300024, -83.153191000000021], [42.326641632300024, -83.145603000000023], [42.333130230600027, -83.145603000000023], [42.333130230600027, -83.153191000000021]]",0.33069423506
205.0,66.3911453783,569,"[[42.326641632300024, -83.145603000000023], [42.326641632300024, -83.138015000000024], [42.333130230600027, -83.138015000000024], [42.333130230600027, -83.145603000000023]]",0.323859245748
352.0,115.681922823,570,"[[42.326641632300024, -83.138015000000024], [42.326641632300024, -83.130427000000026], [42.333130230600027, -83.130427000000026], [42.333130230600027, -83.138015000000024]]",0.328641826202
302.0,95.9143031537,571,"[[42.326641632300024, -83.130427000000026], [42.326641632300024, -83.122839000000027], [42.333130230600027, -83.122839000000027], [42.333130230600027, -83.130427000000026]]",0.31759703031
206.0,63.5953325331,572,"[[42.326641632300024, -83.122839000000027], [42.326641632300024, -83.115251000000029], [42.333130230600027, -83.115251000000029], [42.333130230600027, -83.122839000000027]]",0.308715206471
207.0,68.0356233716,573,"[[42.326641632300024, -83.115251000000029], [42.326641632300024, -83.107663000000031], [42.333130230600027, -83.107663000000031], [42.333130230600027, -83.115251000000029]]",0.328674509042
73.0,24.8961363137,574,"[[42.326641632300024, -83.107663000000031], [42.326641632300024, -83.100075000000032], [42.333130230600027, -83.100075000000032], [42.333130230600027, -83.107663000000031]]",0.341042963201
